,Hotel,Rating,Location,Review_numbers
0,FabHotel Airport Palace,7.8,"Santacruz, Mumbai",39 reviews
1,The St. Regis Mumbai,8.8,"Worli, Mumbai","1,579 reviews"
2,Fairfield by Marriott Mumbai International Airport,8.2,"Western Suburbs, Mumbai","1,251 reviews"
3,Novotel Mumbai International Airport,8.5,"Western Suburbs, Mumbai",884 reviews
4,Radisson Blu Mumbai International Airport,8.3,"Western Suburbs, Mumbai","2,507 reviews"
5,"Holiday Inn Mumbai International Airport, an IHG Hotel",7.9,"Western Suburbs, Mumbai","1,817 reviews"
6,Courtyard by Marriott Mumbai International Airport,8.2,"Western Suburbs, Mumbai","1,424 reviews"
7,The Leela Mumbai,8.6,"Western Suburbs, Mumbai","3,688 reviews"
8,Hilton Mumbai International Airport Hotel,7.8,"Western Suburbs, Mumbai","1,620 reviews"
9,Ginger Mumbai Airport,7.7,"Western Suburbs, Mumbai",421 reviews
10,"ITC Maratha, a Luxury Collection Hotel, Mumbai",8.1,"Western Suburbs, Mumbai","2,587 reviews"
11,Residency Sarovar Portico,7.0,"Western Suburbs, Mumbai",559 reviews
12,Radisson Mumbai Andheri MIDC,8.2,"Western Suburbs, Mumbai","1,516 reviews"
13,Hotel Ariana Residency,7.0,"Western Suburbs, Mumbai",509 reviews
14,Trident Bandra Kurla,8.8,"Bandra, Mumbai","3,670 reviews"
15,Four Seasons Hotel Mumbai,8.5,"Worli, Mumbai","2,007 reviews"
16,Sofitel Mumbai BKC,8.1,"Bandra, Mumbai","2,652 reviews"
17,"Lemon Tree Premier, Mumbai International Airport",7.4,"Western Suburbs, Mumbai",648 reviews
18,Taj Santacruz,8.8,Mumbai,"3,471 reviews"
19,"ITC Grand Central, a Luxury Collection Hotel, Mumbai",8.6,"South Mumbai, Mumbai","1,668 reviews"
20,Taj Lands End,8.6,"Bandra, Mumbai","3,538 reviews"
21,The Westin Mumbai Garden City,8.6,"Western Suburbs, Mumbai","1,099 reviews"
22,FabHotel RK International,7.5,"Western Suburbs, Mumbai",836 reviews
23,FabHotel Royal Mumbai International Airport,7.4,"Western Suburbs, Mumbai",293 reviews
24,Trident Nariman Point,8.7,"South Mumbai, Mumbai","4,260 reviews"
